battle_tag,learner,opponent,outcome,n_turns,learner_pokemon_remaining,opponent_pokemon_remaining
battle-gen9randombattle-25912,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,3
battle-gen9randombattle-25913,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,3
battle-gen9randombattle-25914,QLearningPlayer 1,SimpleHeuristics 1,Win,28,5,6
battle-gen9randombattle-25915,QLearningPlayer 1,SimpleHeuristics 1,Loss,26,6,4
battle-gen9randombattle-25916,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,4
battle-gen9randombattle-25917,QLearningPlayer 1,SimpleHeuristics 1,Loss,21,6,5
battle-gen9randombattle-25918,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,3
battle-gen9randombattle-25919,QLearningPlayer 1,SimpleHeuristics 1,Loss,16,6,2
battle-gen9randombattle-25920,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,4
battle-gen9randombattle-25921,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,4
battle-gen9randombattle-25922,QLearningPlayer 1,SimpleHeuristics 1,Loss,14,6,1
battle-gen9randombattle-25923,QLearningPlayer 1,SimpleHeuristics 1,Loss,12,6,2
battle-gen9randombattle-25924,QLearningPlayer 1,SimpleHeuristics 1,Loss,23,6,2
battle-gen9randombattle-25925,QLearningPlayer 1,SimpleHeuristics 1,Loss,16,6,3
battle-gen9randombattle-25926,QLearningPlayer 1,SimpleHeuristics 1,Loss,22,6,4
battle-gen9randombattle-25927,QLearningPlayer 1,SimpleHeuristics 1,Loss,51,6,4
battle-gen9randombattle-25928,QLearningPlayer 1,SimpleHeuristics 1,Win,25,4,6
battle-gen9randombattle-25929,QLearningPlayer 1,SimpleHeuristics 1,Loss,18,6,2
battle-gen9randombattle-25930,QLearningPlayer 1,SimpleHeuristics 1,Loss,19,6,1
battle-gen9randombattle-25931,QLearningPlayer 1,SimpleHeuristics 1,Loss,28,6,4
battle-gen9randombattle-25932,QLearningPlayer 1,SimpleHeuristics 1,Loss,24,6,3
battle-gen9randombattle-25933,QLearningPlayer 1,SimpleHeuristics 1,Win,30,3,6
battle-gen9randombattle-25934,QLearningPlayer 1,SimpleHeuristics 1,Loss,23,6,3
battle-gen9randombattle-25935,QLearningPlayer 1,SimpleHeuristics 1,Loss,16,6,4
battle-gen9randombattle-25936,QLearningPlayer 1,SimpleHeuristics 1,Loss,13,6,2
battle-gen9randombattle-25937,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,2
battle-gen9randombattle-25938,QLearningPlayer 1,SimpleHeuristics 1,Win,26,5,6
battle-gen9randombattle-25939,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,3
battle-gen9randombattle-25940,QLearningPlayer 1,SimpleHeuristics 1,Loss,16,6,3
battle-gen9randombattle-25941,QLearningPlayer 1,SimpleHeuristics 1,Loss,12,6,2
battle-gen9randombattle-25942,QLearningPlayer 1,SimpleHeuristics 1,Win,31,4,6
battle-gen9randombattle-25943,QLearningPlayer 1,SimpleHeuristics 1,Loss,19,6,4
battle-gen9randombattle-25944,QLearningPlayer 1,SimpleHeuristics 1,Loss,32,6,4
battle-gen9randombattle-25945,QLearningPlayer 1,SimpleHeuristics 1,Loss,15,6,4
battle-gen9randombattle-25946,QLearningPlayer 1,SimpleHeuristics 1,Win,49,4,6
battle-gen9randombattle-25947,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,3
battle-gen9randombattle-25948,QLearningPlayer 1,SimpleHeuristics 1,Loss,17,6,5
